Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '64' is not parsed by Ippl. Make sure your application parses it.
Option '2621440' is not parsed by Ippl. Make sure your application parses it.
Option '384' is not parsed by Ippl. Make sure your application parses it.
Option '0.05' is not parsed by Ippl. Make sure your application parses it.
Option 'B-spline' is not parsed by Ippl. Make sure your application parses it.
Option '1' is not parsed by Ippl. Make sure your application parses it.
Option '1e-4' is not parsed by Ippl. Make sure your application parses it.
LandauDampingPIF{0}> Landau damping
LandauDampingPIF{0}> nt 384 Np= 2621440 Fourier modes = ( 64 , 64 , 64 )
LandauDampingPIF{0}> particles created and initial conditions assigned 
LandauDampingPIF{0}> Finished time step: 192 time: 9.6
LandauDampingPIF{0}> Finished time step: 193 time: 9.65
LandauDampingPIF{0}> Finished time step: 194 time: 9.7
LandauDampingPIF{0}> Finished time step: 195 time: 9.75
LandauDampingPIF{0}> Finished time step: 196 time: 9.8
LandauDampingPIF{0}> Finished time step: 197 time: 9.85
LandauDampingPIF{0}> Finished time step: 198 time: 9.9
LandauDampingPIF{0}> Finished time step: 199 time: 9.95
LandauDampingPIF{0}> Finished time step: 200 time: 10
LandauDampingPIF{0}> Finished time step: 201 time: 10.05
LandauDampingPIF{0}> Finished time step: 202 time: 10.1
LandauDampingPIF{0}> Finished time step: 203 time: 10.15
LandauDampingPIF{0}> Finished time step: 204 time: 10.2
LandauDampingPIF{0}> Finished time step: 205 time: 10.25
LandauDampingPIF{0}> Finished time step: 206 time: 10.3
LandauDampingPIF{0}> Finished time step: 207 time: 10.35
LandauDampingPIF{0}> Finished time step: 208 time: 10.4
LandauDampingPIF{0}> Finished time step: 209 time: 10.45
LandauDampingPIF{0}> Finished time step: 210 time: 10.5
LandauDampingPIF{0}> Finished time step: 211 time: 10.55
LandauDampingPIF{0}> Finished time step: 212 time: 10.6
LandauDampingPIF{0}> Finished time step: 213 time: 10.65
LandauDampingPIF{0}> Finished time step: 214 time: 10.7
LandauDampingPIF{0}> Finished time step: 215 time: 10.75
LandauDampingPIF{0}> Finished time step: 216 time: 10.8
LandauDampingPIF{0}> Finished time step: 217 time: 10.85
LandauDampingPIF{0}> Finished time step: 218 time: 10.9
LandauDampingPIF{0}> Finished time step: 219 time: 10.95
LandauDampingPIF{0}> Finished time step: 220 time: 11
LandauDampingPIF{0}> Finished time step: 221 time: 11.05
LandauDampingPIF{0}> Finished time step: 222 time: 11.1
LandauDampingPIF{0}> Finished time step: 223 time: 11.15
LandauDampingPIF{0}> Finished time step: 224 time: 11.2
LandauDampingPIF{0}> Finished time step: 225 time: 11.25
LandauDampingPIF{0}> Finished time step: 226 time: 11.3
LandauDampingPIF{0}> Finished time step: 227 time: 11.35
LandauDampingPIF{0}> Finished time step: 228 time: 11.4
LandauDampingPIF{0}> Finished time step: 229 time: 11.45
LandauDampingPIF{0}> Finished time step: 230 time: 11.5
LandauDampingPIF{0}> Finished time step: 231 time: 11.55
LandauDampingPIF{0}> Finished time step: 232 time: 11.6
LandauDampingPIF{0}> Finished time step: 233 time: 11.65
LandauDampingPIF{0}> Finished time step: 234 time: 11.7
LandauDampingPIF{0}> Finished time step: 235 time: 11.75
LandauDampingPIF{0}> Finished time step: 236 time: 11.8
LandauDampingPIF{0}> Finished time step: 237 time: 11.85
LandauDampingPIF{0}> Finished time step: 238 time: 11.9
LandauDampingPIF{0}> Finished time step: 239 time: 11.95
LandauDampingPIF{0}> Finished time step: 240 time: 12
LandauDampingPIF{0}> Finished time step: 241 time: 12.05
LandauDampingPIF{0}> Finished time step: 242 time: 12.1
LandauDampingPIF{0}> Finished time step: 243 time: 12.15
LandauDampingPIF{0}> Finished time step: 244 time: 12.2
LandauDampingPIF{0}> Finished time step: 245 time: 12.25
LandauDampingPIF{0}> Finished time step: 246 time: 12.3
LandauDampingPIF{0}> Finished time step: 247 time: 12.35
LandauDampingPIF{0}> Finished time step: 248 time: 12.4
LandauDampingPIF{0}> Finished time step: 249 time: 12.45
LandauDampingPIF{0}> Finished time step: 250 time: 12.5
LandauDampingPIF{0}> Finished time step: 251 time: 12.55
LandauDampingPIF{0}> Finished time step: 252 time: 12.6
LandauDampingPIF{0}> Finished time step: 253 time: 12.65
LandauDampingPIF{0}> Finished time step: 254 time: 12.7
LandauDampingPIF{0}> Finished time step: 255 time: 12.75
LandauDampingPIF{0}> Finished time step: 256 time: 12.8
LandauDampingPIF{0}> Finished time step: 257 time: 12.85
LandauDampingPIF{0}> Finished time step: 258 time: 12.9
LandauDampingPIF{0}> Finished time step: 259 time: 12.95
LandauDampingPIF{0}> Finished time step: 260 time: 13
LandauDampingPIF{0}> Finished time step: 261 time: 13.05
LandauDampingPIF{0}> Finished time step: 262 time: 13.1
LandauDampingPIF{0}> Finished time step: 263 time: 13.15
LandauDampingPIF{0}> Finished time step: 264 time: 13.2
LandauDampingPIF{0}> Finished time step: 265 time: 13.25
LandauDampingPIF{0}> Finished time step: 266 time: 13.3
LandauDampingPIF{0}> Finished time step: 267 time: 13.35
LandauDampingPIF{0}> Finished time step: 268 time: 13.4
LandauDampingPIF{0}> Finished time step: 269 time: 13.45
LandauDampingPIF{0}> Finished time step: 270 time: 13.5
LandauDampingPIF{0}> Finished time step: 271 time: 13.55
LandauDampingPIF{0}> Finished time step: 272 time: 13.6
LandauDampingPIF{0}> Finished time step: 273 time: 13.65
LandauDampingPIF{0}> Finished time step: 274 time: 13.7
LandauDampingPIF{0}> Finished time step: 275 time: 13.75
LandauDampingPIF{0}> Finished time step: 276 time: 13.8
LandauDampingPIF{0}> Finished time step: 277 time: 13.85
LandauDampingPIF{0}> Finished time step: 278 time: 13.9
LandauDampingPIF{0}> Finished time step: 279 time: 13.95
LandauDampingPIF{0}> Finished time step: 280 time: 14
LandauDampingPIF{0}> Finished time step: 281 time: 14.05
LandauDampingPIF{0}> Finished time step: 282 time: 14.1
LandauDampingPIF{0}> Finished time step: 283 time: 14.15
LandauDampingPIF{0}> Finished time step: 284 time: 14.2
LandauDampingPIF{0}> Finished time step: 285 time: 14.25
LandauDampingPIF{0}> Finished time step: 286 time: 14.3
LandauDampingPIF{0}> Finished time step: 287 time: 14.35
LandauDampingPIF{0}> Finished time step: 288 time: 14.4
LandauDampingPIF{0}> Finished time step: 289 time: 14.45
LandauDampingPIF{0}> Finished time step: 290 time: 14.5
LandauDampingPIF{0}> Finished time step: 291 time: 14.55
LandauDampingPIF{0}> Finished time step: 292 time: 14.6
LandauDampingPIF{0}> Finished time step: 293 time: 14.65
LandauDampingPIF{0}> Finished time step: 294 time: 14.7
LandauDampingPIF{0}> Finished time step: 295 time: 14.75
LandauDampingPIF{0}> Finished time step: 296 time: 14.8
LandauDampingPIF{0}> Finished time step: 297 time: 14.85
LandauDampingPIF{0}> Finished time step: 298 time: 14.9
LandauDampingPIF{0}> Finished time step: 299 time: 14.95
LandauDampingPIF{0}> Finished time step: 300 time: 15
LandauDampingPIF{0}> Finished time step: 301 time: 15.05
LandauDampingPIF{0}> Finished time step: 302 time: 15.1
LandauDampingPIF{0}> Finished time step: 303 time: 15.15
LandauDampingPIF{0}> Finished time step: 304 time: 15.2
LandauDampingPIF{0}> Finished time step: 305 time: 15.25
LandauDampingPIF{0}> Finished time step: 306 time: 15.3
LandauDampingPIF{0}> Finished time step: 307 time: 15.35
LandauDampingPIF{0}> Finished time step: 308 time: 15.4
LandauDampingPIF{0}> Finished time step: 309 time: 15.45
LandauDampingPIF{0}> Finished time step: 310 time: 15.5
LandauDampingPIF{0}> Finished time step: 311 time: 15.55
LandauDampingPIF{0}> Finished time step: 312 time: 15.6
LandauDampingPIF{0}> Finished time step: 313 time: 15.65
LandauDampingPIF{0}> Finished time step: 314 time: 15.7
LandauDampingPIF{0}> Finished time step: 315 time: 15.75
LandauDampingPIF{0}> Finished time step: 316 time: 15.8
LandauDampingPIF{0}> Finished time step: 317 time: 15.85
LandauDampingPIF{0}> Finished time step: 318 time: 15.9
LandauDampingPIF{0}> Finished time step: 319 time: 15.95
LandauDampingPIF{0}> Finished time step: 320 time: 16
LandauDampingPIF{0}> Finished time step: 321 time: 16.05
LandauDampingPIF{0}> Finished time step: 322 time: 16.1
LandauDampingPIF{0}> Finished time step: 323 time: 16.15
LandauDampingPIF{0}> Finished time step: 324 time: 16.2
LandauDampingPIF{0}> Finished time step: 325 time: 16.25
LandauDampingPIF{0}> Finished time step: 326 time: 16.3
LandauDampingPIF{0}> Finished time step: 327 time: 16.35
LandauDampingPIF{0}> Finished time step: 328 time: 16.4
LandauDampingPIF{0}> Finished time step: 329 time: 16.45
LandauDampingPIF{0}> Finished time step: 330 time: 16.5
LandauDampingPIF{0}> Finished time step: 331 time: 16.55
LandauDampingPIF{0}> Finished time step: 332 time: 16.6
LandauDampingPIF{0}> Finished time step: 333 time: 16.65
LandauDampingPIF{0}> Finished time step: 334 time: 16.7
LandauDampingPIF{0}> Finished time step: 335 time: 16.75
LandauDampingPIF{0}> Finished time step: 336 time: 16.8
LandauDampingPIF{0}> Finished time step: 337 time: 16.85
LandauDampingPIF{0}> Finished time step: 338 time: 16.9
LandauDampingPIF{0}> Finished time step: 339 time: 16.95
LandauDampingPIF{0}> Finished time step: 340 time: 17
LandauDampingPIF{0}> Finished time step: 341 time: 17.05
LandauDampingPIF{0}> Finished time step: 342 time: 17.1
LandauDampingPIF{0}> Finished time step: 343 time: 17.15
LandauDampingPIF{0}> Finished time step: 344 time: 17.2
LandauDampingPIF{0}> Finished time step: 345 time: 17.25
LandauDampingPIF{0}> Finished time step: 346 time: 17.3
LandauDampingPIF{0}> Finished time step: 347 time: 17.35
LandauDampingPIF{0}> Finished time step: 348 time: 17.4
LandauDampingPIF{0}> Finished time step: 349 time: 17.45
LandauDampingPIF{0}> Finished time step: 350 time: 17.5
LandauDampingPIF{0}> Finished time step: 351 time: 17.55
LandauDampingPIF{0}> Finished time step: 352 time: 17.6
LandauDampingPIF{0}> Finished time step: 353 time: 17.65
LandauDampingPIF{0}> Finished time step: 354 time: 17.7
LandauDampingPIF{0}> Finished time step: 355 time: 17.75
LandauDampingPIF{0}> Finished time step: 356 time: 17.8
LandauDampingPIF{0}> Finished time step: 357 time: 17.85
LandauDampingPIF{0}> Finished time step: 358 time: 17.9
LandauDampingPIF{0}> Finished time step: 359 time: 17.95
LandauDampingPIF{0}> Finished time step: 360 time: 18
LandauDampingPIF{0}> Finished time step: 361 time: 18.05
LandauDampingPIF{0}> Finished time step: 362 time: 18.1
LandauDampingPIF{0}> Finished time step: 363 time: 18.15
LandauDampingPIF{0}> Finished time step: 364 time: 18.2
LandauDampingPIF{0}> Finished time step: 365 time: 18.25
LandauDampingPIF{0}> Finished time step: 366 time: 18.3
LandauDampingPIF{0}> Finished time step: 367 time: 18.35
LandauDampingPIF{0}> Finished time step: 368 time: 18.4
LandauDampingPIF{0}> Finished time step: 369 time: 18.45
LandauDampingPIF{0}> Finished time step: 370 time: 18.5
LandauDampingPIF{0}> Finished time step: 371 time: 18.55
LandauDampingPIF{0}> Finished time step: 372 time: 18.6
LandauDampingPIF{0}> Finished time step: 373 time: 18.65
LandauDampingPIF{0}> Finished time step: 374 time: 18.7
LandauDampingPIF{0}> Finished time step: 375 time: 18.75
LandauDampingPIF{0}> Finished time step: 376 time: 18.8
LandauDampingPIF{0}> Finished time step: 377 time: 18.85
LandauDampingPIF{0}> Finished time step: 378 time: 18.9
LandauDampingPIF{0}> Finished time step: 379 time: 18.95
LandauDampingPIF{0}> Finished time step: 380 time: 19
LandauDampingPIF{0}> Finished time step: 381 time: 19.05
LandauDampingPIF{0}> Finished time step: 382 time: 19.1
LandauDampingPIF{0}> Finished time step: 383 time: 19.15
LandauDampingPIF{0}> Finished time step: 384 time: 19.2
LandauDampingPIF{0}> LandauDamping: End.
Timings{0}> ---------------------------------------------
Timings{0}>      Timing results for 4 ranks:
Timings{0}> ---------------------------------------------
Timings{0}> mainTimer........... Wall tot =    8.72544
Timings{0}> 
Timings{0}> particlesCreation... Wall max =  0.0216855
Timings{0}>                      Wall avg =   0.020504
Timings{0}>                      Wall min =   0.018982
Timings{0}> 
Timings{0}> dumpData............ Wall max =     1.0551
Timings{0}>                      Wall avg =   0.752117
Timings{0}>                      Wall min =   0.457075
Timings{0}> 
Timings{0}> kick................ Wall max =  0.0297903
Timings{0}>                      Wall avg =  0.0294132
Timings{0}>                      Wall min =  0.0291875
Timings{0}> 
Timings{0}> drift............... Wall max =  0.0140948
Timings{0}>                      Wall avg =  0.0139672
Timings{0}>                      Wall min =  0.0138582
Timings{0}> 
Timings{0}> particleBC.......... Wall max =  0.0280368
Timings{0}>                      Wall avg =  0.0278508
Timings{0}>                      Wall min =  0.0276026
Timings{0}> 
Timings{0}> initializeShapeFunc. Wall max = 0.000167651
Timings{0}>                      Wall avg = 0.000132906
Timings{0}>                      Wall min =  9.707e-05
Timings{0}> 
Timings{0}> ScatterPIFNUFFT..... Wall max =    1.32919
Timings{0}>                      Wall avg =    1.32719
Timings{0}>                      Wall min =     1.3254
Timings{0}> 
Timings{0}> scatterAllReducePIF. Wall max =    3.98804
Timings{0}>                      Wall avg =    3.69732
Timings{0}>                      Wall min =    3.40252
Timings{0}> 
Timings{0}> GatherPIFNUFFT...... Wall max =    2.54894
Timings{0}>                      Wall avg =     2.5433
Timings{0}>                      Wall min =    2.53781
Timings{0}> 
Timings{0}> ---------------------------------------------
