time, Ez_field_energy, Ez_max_norm
1.1781250000e+00 1.0962226529e+00 1.4758704928e-02
1.1812500000e+00 1.0789156102e+00 1.4610743342e-02
1.1843750000e+00 1.0617799802e+00 1.4462767948e-02
1.1875000000e+00 1.0448156969e+00 1.4314781233e-02
1.1906250000e+00 1.0280227132e+00 1.4166785676e-02
1.1937500000e+00 1.0114010186e+00 1.4018783777e-02
1.1968750000e+00 9.9495064500e-01 1.3870778010e-02
1.2000000000e+00 9.7867168314e-01 1.3722770878e-02
1.2031250000e+00 9.6256428693e-01 1.3574764887e-02
1.2062500000e+00 9.4662867695e-01 1.3426762540e-02
1.2093750000e+00 9.3086514513e-01 1.3278766357e-02
1.2125000000e+00 9.1527405033e-01 1.3130778851e-02
1.2156250000e+00 8.9985581500e-01 1.2982802527e-02
1.2187500000e+00 8.8461092134e-01 1.2834839918e-02
1.2218750000e+00 8.6953990002e-01 1.2686893554e-02
1.2250000000e+00 8.5464331955e-01 1.2538965971e-02
1.2281250000e+00 8.3992177444e-01 1.2391059709e-02
1.2312500000e+00 8.2537587160e-01 1.2243177313e-02
1.2343750000e+00 8.1100621968e-01 1.2095321352e-02
1.2375000000e+00 7.9681341151e-01 1.1947494375e-02
1.2406250000e+00 7.8279801875e-01 1.1799698972e-02
1.2437500000e+00 7.6896057666e-01 1.1651937727e-02
1.2468750000e+00 7.5530157644e-01 1.1504213218e-02
1.2500000000e+00 7.4182146145e-01 1.1356528054e-02
1.2531250000e+00 7.2852062074e-01 1.1208884853e-02
1.2562500000e+00 7.1539938619e-01 1.1061286232e-02
1.2593750000e+00 7.0245803281e-01 1.0913734839e-02
1.2625000000e+00 6.8969677615e-01 1.0766233316e-02
1.2656250000e+00 6.7711577606e-01 1.0618784336e-02
1.2687500000e+00 6.6471513546e-01 1.0471390579e-02
1.2718750000e+00 6.5249490293e-01 1.0324054746e-02
1.2750000000e+00 6.4045507348e-01 1.0176779548e-02
1.2781250000e+00 6.2859559197e-01 1.0029567725e-02
1.2812500000e+00 6.1691635373e-01 9.8824220306e-03
1.2843750000e+00 6.0541720982e-01 9.7353452565e-03
