time, Ex_field_energy, Ex_max_norm
1.4200000000e+01 2.7310391392e-01 3.4224102031e-03
1.4250000000e+01 2.6723540980e-01 3.2376285519e-03
1.4300000000e+01 2.6110932635e-01 3.0416722237e-03
1.4350000000e+01 2.5559093495e-01 2.8358734322e-03
1.4400000000e+01 2.5174867699e-01 2.6211762107e-03
1.4450000000e+01 2.4859606835e-01 2.3988354024e-03
1.4500000000e+01 2.4583852259e-01 2.1698753900e-03
1.4550000000e+01 2.4280399813e-01 1.9356204490e-03
1.4600000000e+01 2.3980274110e-01 1.6972367941e-03
1.4650000000e+01 2.3729087060e-01 1.4560222465e-03
1.4700000000e+01 2.3466939491e-01 1.2132989120e-03
1.4750000000e+01 2.3192702450e-01 9.7049169633e-04
1.4800000000e+01 2.2908144302e-01 7.2951761029e-04
1.4850000000e+01 2.2659423203e-01 6.8698238438e-04
1.4900000000e+01 2.2530281495e-01 6.6128944456e-04
1.4950000000e+01 2.2508736102e-01 6.3325624525e-04
1.5000000000e+01 2.2585221943e-01 6.2711939628e-04
1.5050000000e+01 2.2658810175e-01 6.3802925034e-04
1.5100000000e+01 2.2745397476e-01 7.0946795934e-04
1.5150000000e+01 2.2904619406e-01 9.2034035657e-04
1.5200000000e+01 2.3051089847e-01 1.1247570645e-03
1.5250000000e+01 2.3293853708e-01 1.3213473735e-03
1.5300000000e+01 2.3641723458e-01 1.5089337808e-03
1.5350000000e+01 2.3946052785e-01 1.6867685223e-03
1.5400000000e+01 2.4270111764e-01 1.8542086434e-03
1.5450000000e+01 2.4633231445e-01 2.0106084069e-03
1.5500000000e+01 2.4957167746e-01 2.1555118486e-03
1.5550000000e+01 2.5187229821e-01 2.2884755013e-03
1.5600000000e+01 2.5390760850e-01 2.4090998239e-03
1.5650000000e+01 2.5559808993e-01 2.5172139545e-03
1.5700000000e+01 2.5659842568e-01 2.6124833550e-03
1.5750000000e+01 2.5783956916e-01 2.6948651612e-03
1.5800000000e+01 2.5954695291e-01 2.7641313513e-03
1.5850000000e+01 2.6126272533e-01 2.8203645060e-03
1.5900000000e+01 2.6280558576e-01 2.8636285503e-03
1.5950000000e+01 2.6448033005e-01 2.8939842300e-03
1.6000000000e+01 2.6622885165e-01 2.9114746997e-03
1.6050000000e+01 2.6723269888e-01 2.9164775988e-03
1.6100000000e+01 2.6762067028e-01 2.9091234405e-03
1.6150000000e+01 2.6741350122e-01 2.8897932259e-03
1.6200000000e+01 2.6676966321e-01 2.8589919077e-03
1.6250000000e+01 2.6704435348e-01 2.8169181097e-03
1.6300000000e+01 2.6625526005e-01 2.7641718762e-03
1.6350000000e+01 2.6339550550e-01 2.7011928458e-03
1.6400000000e+01 2.6075417348e-01 2.6285874966e-03
1.6450000000e+01 2.5824338304e-01 2.5469647138e-03
1.6500000000e+01 2.5617799314e-01 2.4568823579e-03
1.6550000000e+01 2.5429825232e-01 2.3589940216e-03
1.6600000000e+01 2.5194352290e-01 2.2540637702e-03
1.6650000000e+01 2.5001976370e-01 2.1428931077e-03
1.6700000000e+01 2.4838502112e-01 2.0261415601e-03
1.6750000000e+01 2.4612186276e-01 1.9046936781e-03
1.6800000000e+01 2.4428618495e-01 1.7794697864e-03
1.6850000000e+01 2.4348918962e-01 1.6512778412e-03
1.6900000000e+01 2.4356938502e-01 1.5213123045e-03
1.6950000000e+01 2.4437593239e-01 1.3905913939e-03
1.7000000000e+01 2.4485683521e-01 1.2606058132e-03
1.7050000000e+01 2.4457224486e-01 1.1327700963e-03
1.7100000000e+01 2.4351360958e-01 1.0091448873e-03
1.7150000000e+01 2.4214618996e-01 8.9226358948e-04
1.7200000000e+01 2.4135576971e-01 7.8557460977e-04
1.7250000000e+01 2.3983407664e-01 6.9369100337e-04
1.7300000000e+01 2.3760376034e-01 6.2250007853e-04
1.7350000000e+01 2.3615401661e-01 5.7828596286e-04
1.7400000000e+01 2.3499952035e-01 5.6554169154e-04
1.7450000000e+01 2.3362546562e-01 5.8386207207e-04
1.7500000000e+01 2.3300623583e-01 6.2792073059e-04
1.7550000000e+01 2.3348175380e-01 6.9012467497e-04
1.7600000000e+01 2.3334914437e-01 7.6349853715e-04
1.7650000000e+01 2.3302336366e-01 8.4244386056e-04
1.7700000000e+01 2.3367788668e-01 9.2327161196e-04
1.7750000000e+01 2.3631078756e-01 1.0032564473e-03
1.7800000000e+01 2.3905008927e-01 1.0803767059e-03
1.7850000000e+01 2.4052332913e-01 1.1533755075e-03
1.7900000000e+01 2.4154671430e-01 1.2212903551e-03
1.7950000000e+01 2.4231399343e-01 1.2832485899e-03
1.8000000000e+01 2.4204525379e-01 1.3387643637e-03
1.8050000000e+01 2.4151239363e-01 1.3874028501e-03
1.8100000000e+01 2.4138894518e-01 1.4288174834e-03
1.8150000000e+01 2.4088972603e-01 1.4626649110e-03
1.8200000000e+01 2.4063851017e-01 1.4889069587e-03
1.8250000000e+01 2.4148709717e-01 1.5073505219e-03
1.8300000000e+01 2.4203781092e-01 1.5180611348e-03
1.8350000000e+01 2.4193691336e-01 1.5208104645e-03
1.8400000000e+01 2.4153165617e-01 1.5158573175e-03
1.8450000000e+01 2.4112126719e-01 1.5031427386e-03
1.8500000000e+01 2.4056271353e-01 1.4828856660e-03
1.8550000000e+01 2.3965282879e-01 1.4552080547e-03
1.8600000000e+01 2.3854219558e-01 1.4202749270e-03
1.8650000000e+01 2.3806392186e-01 1.3782316806e-03
1.8700000000e+01 2.3715340695e-01 1.3295571489e-03
1.8750000000e+01 2.3518804207e-01 1.2743957757e-03
1.8800000000e+01 2.3330998662e-01 1.2131105342e-03
1.8850000000e+01 2.3244221103e-01 1.1459367802e-03
1.8900000000e+01 2.3248168700e-01 1.0734370128e-03
1.8950000000e+01 2.3311145103e-01 9.9588830511e-04
1.9000000000e+01 2.3362243790e-01 9.1477115454e-04
1.9050000000e+01 2.3362315626e-01 9.8150945065e-04
1.9100000000e+01 2.3349971641e-01 1.0447769473e-03
1.9150000000e+01 2.3366350606e-01 1.1039950349e-03
1.9200000000e+01 2.3384571515e-01 1.1586438674e-03
